dep;nomdep;codecommune;nomcommune;GEO_latitude;GEO_longitude;DBL_geo_point_2d;DBL_coderegion;DBL_nomregion;DBL_bug
51;MARNE;51031;BACONNES;49.164363592054414;4.338416549651177;49.164363592054414, 4.338416549651177;21;CHAMPAGNE-ARDENNE;0
44;LOIRE-ATLANTIQUE;44134;POUILLE-LES-COTEAUX;47.46770993189619;-1.1746167756137131;47.46770993189619, -1.1746167756137131;52;PAYS DE LA LOIRE;0
50;MANCHE;50126;CHAVOY;48.73601298675125;-1.333602853019;48.73601298675125, -1.333602853019;25;BASSE-NORMANDIE;0
07;ARDECHE;07267;SAINT-MARTIAL;44.86274383743311;4.251322398740551;44.86274383743311, 4.251322398740551;82;RHONE-ALPES;0
50;MANCHE;50142;COSQUEVILLE;49.69150853527209;-1.4000999277992872;49.69150853527209, -1.4000999277992872;25;BASSE-NORMANDIE;0
61;ORNE;61435;SAINT-NICOLAS-DE-SOMMAIRE;48.81242719624328;0.597978267366267;48.81242719624328, 0.597978267366267;25;BASSE-NORMANDIE;0
88;VOSGES;88111;COINCHES;48.24494816895123;7.024706951306288;48.24494816895123, 7.024706951306288;41;LORRAINE;0
81;TARN;81202;PARISOT;43.80463042556562;1.836426554850724;43.80463042556562, 1.836426554850724;73;MIDI-PYRENEES;0
66;PYRENEES-ORIENTALES;66180;SAINT-LAURENT-DE-LA-SALANQUE;42.79356503317234;3.002078795924787;42.79356503317234, 3.002078795924787;91;LANGUEDOC-ROUSSILLON;0
28;EURE-ET-LOIR;28335;SAINT-ELIPH;48.44968904487846;1.036159548592829;48.44968904487846, 1.036159548592829;24;CENTRE;0
76;SEINE-MARITIME;76264;FLAMANVILLE;49.63126977168898;0.8320083100794681;49.631269771688984, 0.8320083100794681;23;HAUTE-NORMANDIE;0
71;SAONE-ET-LOIRE;71224;GRANDVAUX;46.50595585366879;4.264983540817765;46.50595585366879, 4.264983540817765;26;BOURGOGNE;0
56;MORBIHAN;56155;PENESTIN;47.47268647912173;-2.464732549440541;47.472686479121734, -2.464732549440541;53;BRETAGNE;0
87;HAUTE-VIENNE;87206;VILLEFAVARD;46.16968463972083;1.21415209919844;46.16968463972083, 1.21415209919844;74;LIMOUSIN;0
39;JURA;39338;MOLAY;47.01554617173365;5.423489258258337;47.01554617173365, 5.423489258258337;43;FRANCHE-COMTE;0
95;"""VAL-D'OISE""";95127;CERGY;49.04011315670381;2.050821237309611;49.04011315670381, 2.050821237309611;11;ILE-DE-FRANCE;0
04;ALPES-DE-HAUTE-PROVENCE;04163;REVEST-DU-BION;44.09409034984972;5.540509385446606;44.094090349849715, 5.540509385446606;93;"""PROVENCE-ALPES-COTE D'AZUR""";0
70;HAUTE-SAONE;70163;COLOMBIER;47.66978954563221;6.218834955279795;47.66978954563221, 6.218834955279795;43;FRANCHE-COMTE;0
01;AIN;01080;CHAMPDOR;46.0198844188346;5.600087597221062;46.0198844188346, 5.600087597221062;82;RHONE-ALPES;0
85;VENDEE;85140;LA MEILLERAIE-TILLAY;46.74258282497523;-0.854787636060474;46.74258282497523, -0.854787636060474;52;PAYS DE LA LOIRE;0
71;SAONE-ET-LOIRE;71160;CURBIGNY;46.31169321742581;4.316982074129172;46.31169321742581, 4.316982074129172;26;BOURGOGNE;0
28;EURE-ET-LOIR;28060;BRICONVILLE;48.51609830113525;1.388660842638148;48.51609830113525, 1.388660842638148;24;CENTRE;0
22;"""COTES-D'ARMOR""";22328;SAINT-SERVAIS;48.38668991964327;-3.37424456505378;48.38668991964327, -3.37424456505378;53;BRETAGNE;0
42;LOIRE;42203;SAINT-BONNET-DES-QUARTS;46.130185384576045;3.8281671509721793;46.130185384576045, 3.8281671509721793;82;RHONE-ALPES;0
79;DEUX-SEVRES;79104;COURS;46.50235067124847;-0.415189139600855;46.50235067124847, -0.415189139600855;54;POITOU-CHARENTES;0
79;DEUX-SEVRES;79229;LA ROCHENARD;46.20122046531967;-0.5746381814411521;46.20122046531967, -0.5746381814411521;54;POITOU-CHARENTES;0
71;SAONE-ET-LOIRE;71070;BUXY;46.71304084321402;4.713426191852107;46.713040843214024, 4.713426191852107;26;BOURGOGNE;0
31;HAUTE-GARONNE;31173;ESPERCE;43.29936572241499;1.400637863277286;43.29936572241499, 1.400637863277286;73;MIDI-PYRENEES;0
82;TARN-ET-GARONNE;82030;CASTELFERRUS;44.00501778435661;1.091147388888587;44.00501778435661, 1.091147388888587;73;MIDI-PYRENEES;0
60;OISE;60073;BLACOURT;49.45579510677607;1.863033681921994;49.455795106776065, 1.8630336819219941;22;PICARDIE;0
71;SAONE-ET-LOIRE;71022;BAUDEMONT;46.29359550448415;4.285027450636516;46.293595504484145, 4.285027450636516;26;BOURGOGNE;0
16;CHARENTE;16244;NERSAC;45.625369160499865;0.062190304782331;45.625369160499865, 0.06219030478233101;54;POITOU-CHARENTES;0
84;VAUCLUSE;84019;BOLLENE;44.28820164090302;4.752359562567338;44.28820164090302, 4.752359562567338;93;"""PROVENCE-ALPES-COTE D'AZUR""";0
