,MEN_nmen,MEN_nmencomp,codecommune
544,71,8,02164
545,591,47,02165
546,174,6,02167
547,4550,274,02168
548,33,2,02169
549,40,3,02170
550,18,2,02171
551,67,14,02172
552,4484,321,02173
553,201,13,02174
554,44,1,02175
555,46,6,02176
556,39,3,02177
557,26,3,02178
558,91,12,02179
559,186,19,02180
560,46,4,02181
561,45,3,02182
562,59,4,02183
563,89,7,02184
564,102,10,02185
565,368,29,02186
566,377,29,02187
567,78,6,02188
568,104,10,02189
569,117,16,02190
570,126,10,02191
571,99,4,02192
572,30,7,02193
573,73,10,02194
574,169,13,02195
575,79,9,02196
576,163,9,02197
577,51,3,02198
578,142,16,02199
579,51,5,02200
580,117,10,02201
581,273,23,02203
582,35,5,02204
583,43,7,02205
584,23,3,02206
585,43,7,02207
586,63,1,02208
587,222,14,02209
588,71,4,02210
589,98,3,02211
590,193,17,02212
591,61,6,02213
592,153,15,02215
593,62,5,02216
594,353,27,02217
595,164,8,02218
596,64,8,02219
597,134,11,02220
598,34,3,02221
599,69,7,02223
600,73,5,02224
601,15,1,02225
602,508,50,02226
603,44,2,02227
604,72,7,02228
605,17,1,02229
606,52,3,02230
607,188,17,02231
608,60,3,02232
609,39,3,02233
610,35,2,02234
611,30,2,02235
612,85,3,02236
613,469,42,02237
614,436,36,02238
615,306,23,02239
616,87,5,02240
617,28,3,02241
618,213,16,02242
619,945,79,02243
620,443,38,02245
621,143,10,02246
622,39,1,02248
623,36,3,02249
624,21,3,02252
625,102,17,02253
626,26,2,02254
627,40,5,02255
628,52,5,02256
629,109,6,02257
630,103,12,02258
631,60,5,02259
632,191,12,02260
633,139,5,02261
634,36,0,02262
635,40,6,02263
636,273,25,02264
637,51,2,02265
638,71,10,02267
639,86,7,02268
640,60,5,02269
641,52,7,02270
642,44,4,02271
643,34,2,02272
644,58,5,02273
645,62,2,02274
646,164,11,02275
647,54,4,02276
648,79,7,02277
649,101,6,02279
650,53,10,02280
651,59,6,02281
652,98,10,02282
653,80,8,02283
654,59,5,02284
655,341,27,02286
656,228,12,02287
657,127,10,02288
658,64,6,02289
659,667,66,02290
660,142,14,02291
661,395,20,02292
662,215,25,02293
663,39,4,02294
664,322,28,02295
665,306,24,02296
666,20,2,02297
667,529,44,02298
668,171,10,02299
669,84,9,02302
670,150,19,02303
671,1176,46,02304
672,1007,66,02305
673,229,19,02306
674,561,38,02307
675,183,16,02308
676,109,10,02309
677,97,8,02310
678,27,3,02311
679,295,24,02312
680,157,13,02313
681,484,45,02315
682,30,4,02316
683,57,3,02317
684,456,53,02318
685,157,13,02319
686,77,7,02320
687,244,14,02321
688,117,9,02322
689,46,10,02323
690,137,7,02324
691,138,17,02326
692,41,4,02327
693,137,11,02328
694,134,9,02329
695,95,6,02330
696,43,5,02331
697,61,9,02332
698,47,7,02333
699,1140,67,02334
700,53,5,02335
701,200,13,02336
702,64,5,02337
703,83,9,02338
704,97,14,02339
705,1494,123,02340
706,106,9,02341
707,55,6,02342
708,31,4,02343
709,177,17,02346
710,125,8,02347
711,19,2,02349
712,48,6,02350
713,40,0,02351
714,225,18,02352
715,108,10,02353
716,44,5,02354
717,168,26,02355
718,39,2,02356
719,119,7,02358
720,248,15,02359
721,580,45,02360
722,2359,114,02361
723,66,10,02362
724,175,20,02363
725,46,4,02364
726,123,12,02366
727,47,6,02367
728,139,8,02368
729,83,8,02369
730,196,16,02370
731,394,38,02371
732,100,6,02372
733,71,10,02373
734,181,17,02374
735,34,9,02375
736,63,3,02376
737,59,3,02377
738,52,8,02378
739,82,8,02379
740,4012,257,02381
741,332,19,02382
742,265,26,02383
743,60,9,02385
744,94,6,02386
745,200,17,02387
746,78,5,02388
747,213,16,02389
748,81,8,02390
749,85,12,02391
750,90,8,02392
751,40,6,02393
752,29,3,02395
753,421,30,02397
754,82,7,02398
755,120,9,02399
