,EMP_emp2006,EMP_adm2006,EMP_agr2006,EMP_cre2006,EMP_loi2006,EMP_dis2006,EMP_edu2006,EMP_fab2006,EMP_bag2006,EMP_tra2006,EMP_san2006,EMP_res2006,EMP_emp2016,EMP_adm2016,EMP_agr2016,EMP_cre2016,EMP_loi2016,EMP_dis2016,EMP_edu2016,EMP_fab2016,EMP_bag2016,EMP_tra2016,EMP_san2016,EMP_res2016,DBL_dep,DBL_nomdep,DBL_nomcommune,EMP_codecommune,EMP_btp_cie2006,EMP_btp_cie2016,EMP_rep_con2016,EMP_rep_con2006
881,261.97635,4.0,44.14185,0.0,0.0,72.958702,11.927612,15.966034,3.6253648,6.7747803,0.0,23.355642,192.49831,5.0,29.891407,0.0,0.0,34.868279,5.0056424,29.462183,7.8514619,14.882382,9.8468294,9.8700171,26,DROME,MARCHES,26173,59.163532,34.7904684,11.029631,20.0628382
882,385.41138,7.9803376,20.084078,11.797629,3.9901688,12.019403,11.168251,124.71018,39.790474,77.939194,7.9803376,19.950844,508.89816,19.923164,10.794246,15.833057,0.0,29.290733,9.9026432,149.94765,43.25145,106.87932,5.0955439,49.10408,26,DROME,MARGÈS,26174,11.8324,33.9530587,34.9232004,36.168076
883,16.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,26,DROME,MARIGNAC-EN-DIOIS,26175,4.0,15.0,5.0,0.0
884,224.43095,23.46825,44.261101,0.0,8.0275688,8.0275688,19.397806,11.854693,16.055138,7.8379955,3.9563181,27.837307,211.88928,15.061594,65.230164,4.8693132,4.9605241,19.741171,18.300455,5.2218289,10.182353,8.7296953,15.209764,16.594978,26,DROME,MARSANNE,26176,17.348938399999998,18.98004,8.8073969,36.358269
885,45.617588,4.1702857,8.3405714,8.3405714,0.0,0.0,4.0079632,0.0,0.0,0.0,0.0,12.510858,383.84674,14.989757,29.714865,10.105231,0.0,10.283118,8.0652256,213.13295,8.9427385,15.146,5.2520285,30.72093,26,DROME,MARSAZ,26177,4.077054,25.412638,12.081266,4.1702857
886,74.08564,0.0,31.193954,0.0,3.8992443,3.8992443,0.0,7.7984886,0.0,0.0,3.8992443,11.697733,80.504944,0.0,33.198875,0.0,19.107193,0.0,0.0,0.0,4.6998124,0.0,4.6998124,4.6998124,26,DROME,MENGLON,26178,0.0,9.3996248,4.6998124,11.6977329
887,673.14264,11.945939,129.78906,7.8511815,6.2956662,39.353554,15.916913,35.306198,93.30584,92.02536,19.196823,35.412651,815.07538,27.729809,133.836,7.350368,9.044548,25.930616,13.108775,95.798447,94.966629,98.782257,43.879745,77.257385,26,DROME,MERCUROL-VEAUNES,26179,128.271015,88.78529400000001,98.605491,58.472421999999995
888,42.453674,0.0,34.608307,0.0,0.0,0.0,7.8453674,0.0,0.0,0.0,0.0,0.0,46.437641,0.0,36.118164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1597381,0.0,26,DROME,MÉRINDOL-LES-OLIVIERS,26180,0.0,0.0,5.1597381,0.0
889,67.511734,0.0,19.812206,0.0,0.0,0.0,0.0,0.0,0.0,15.887324,0.0,19.887323,66.03051,4.8815751,41.021278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,DROME,MÉVOUILLON,26181,11.9248826,15.12766,5.0,0.0
890,324.45883,19.851713,93.845154,0.0,8.0951233,20.359518,16.19672,20.380493,15.780089,16.148298,24.152884,40.75322,324.33679,15.197371,126.52248,0.0,20.240002,10.135787,10.148421,10.01689,15.129466,4.9502769,15.094857,31.480814,26,DROME,MIRABEL-AUX-BARONNIES,26182,28.437569,45.192783,20.227627,20.458063
891,183.33913,24.492496,5.2517233,3.3222017,0.0,16.334009,7.9935999,48.394432,12.117593,12.218296,0.0,24.515171,249.00081,0.0,25.830963,0.0,10.5271,21.158571,4.9471459,30.782768,15.102619,29.752478,5.5157261,40.452251,26,DROME,MIRABEL-ET-BLACONS,26183,24.5692126,41.062133,23.8690544,4.1303926
892,173.4328,7.9935999,32.04237,0.0,4.0,0.0,0.0,4.0,19.112869,0.0,0.0,37.145004,203.30569,30.0,10.23719,0.0,0.0,35.345573,10.0,0.0,8.9642029,0.0,0.0,18.412104,26,DROME,MIRMANDE,26185,61.172798,59.911118,30.435505,7.9661632
893,27.71557,0.0,15.954887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,DROME,MISCON,26186,7.7606835,0.0,5.0,0.0
894,226.34929,12.077571,36.699223,0.0,0.0,12.232714,0.0,20.053699,20.21413,7.946116,16.232714,36.392723,258.94473,10.04902,44.897751,0.0,18.98654,14.738009,0.0,5.2768173,10.042221,0.0,10.093458,54.740585,26,DROME,MOLLANS-SUR-OUVÈZE,26188,48.51929440000001,69.787632,20.332703,15.981111
895,30.112366,0.0,24.209999,0.93339026,0.0,0.0,0.0,0.0,0.0,0.0,0.93339026,0.0,36.763317,0.0,20.373833,0.0,0.0,0.0,0.0,10.186916,0.0,0.0,5.0934582,1.1091114,26,DROME,MONTAUBAN-SUR-L'OUVÈZE,26189,4.0355859,0.0,0.0,0.0
896,20.093941,3.9523809,8.0707798,0.0,4.0353899,4.0353899,0.0,0.0,0.0,0.0,0.0,0.0,31.43428,0.0,10.121951,0.0,5.0264549,0.0,1.0501859,0.0,5.0609756,0.0,5.0609756,5.1137362,26,DROME,MONTAULIEU,26190,0.0,0.0,0.0,0.0
897,439.29361,23.824211,24.108566,0.0,4.0,9.2032909,15.230864,42.612514,58.808559,76.374718,27.325575,69.094101,472.94089,20.939278,15.972067,8.5464458,13.806295,13.326623,6.0153751,34.143471,51.870693,31.77327,39.122032,93.633026,26,DROME,MONTBOUCHER-SUR-JABRON,26191,50.106708000000005,88.68887699999999,55.1034509,38.6045121
898,59.917194,0.0,39.945904,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,59.53215,5.0150657,7.9655981,0.0,0.0,0.0,10.088968,0.0,0.0,0.0,6.0739408,10.177936,26,DROME,MONTBRISON-SUR-LEZ,26192,11.9712882,10.177936,10.032704,0.0
899,227.54948,11.918367,36.0,4.0,0.0,11.984873,0.0,15.842971,24.010536,31.877977,27.949287,28.197992,235.67329,21.511902,15.245296,10.441699,0.0,10.12766,0.0,5.0,28.141138,25.127659,25.171185,54.90675,26,DROME,MONTBRUN-LES-BAINS,26193,23.6351025,25.0,15.0,12.1323795
900,61.892525,0.0,27.395683,0.0,3.9136691,3.9136691,3.9136691,7.8273382,0.0,7.8273382,0.0,0.0,110.14536,0.0,10.034542,0.0,5.017271,5.017271,4.9041505,5.017271,4.9764152,35.046597,5.017271,10.034542,26,DROME,MONTCHENU,26194,7.1011572,0.0,25.080023,0.0
901,35.951809,0.0,16.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,44.729267,0.0,24.845114,0.0,0.0,0.0,0.0,9.8841534,0.0,5.0,0.0,5.0,26,DROME,MONTCLAR-SUR-GERVANNE,26195,0.0,0.0,0.0,3.9518073
902,1061.4099,72.529808,32.202625,8.0,16.247227,15.905326,34.134819,12.448508,50.719696,110.81219,422.63614,51.674091,1215.0861,80.386086,5.1375108,0.0,8.0093498,3.3619299,35.780209,41.444115,36.072258,91.736855,565.36798,83.485634,26,DROME,MONTÉLÉGER,26196,43.000047,59.933234,204.370897,191.099479
903,1109.8871,31.225363,41.863934,23.220785,11.596249,69.190002,31.043711,162.79956,157.66353,63.374146,134.73808,117.23087,1325.5699,46.479206,38.437176,30.001562,30.906786,98.534744,33.285809,195.15407,123.39303,37.615181,176.00526,171.47093,26,DROME,MONTÉLIER,26197,128.498009,140.473823,203.812421,137.442902
904,18372.568,1242.1785,159.371,133.93367,264.94739,2083.7544,1011.1898,1454.0634,2364.3816,2338.7754,1899.6447,1572.4913,21317.709,1355.2638,150.5843,174.55678,333.70947,2095.7708,965.14545,1514.0226,2764.9097,2842.5737,2705.292,2062.8101,26,DROME,MONTÉLIMAR,26198,2055.86865,2265.63578,2087.434,1791.96891
905,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,26,DROME,MONTFROC,26200,0.0,5.0,0.0,0.0
906,36.452744,0.0,7.8620691,0.0,0.0,0.0,0.0,4.1450729,0.0,16.324089,0.0,0.0,15.457186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.186916,0.0,0.0,26,DROME,MONTGUERS,26201,0.0,5.2702703,0.0,8.121511
907,55.799938,0.0,15.801755,0.0,0.0,8.0820141,0.0,12.056374,3.974359,0.0,0.0,4.0,50.981407,0.0,30.904518,0.0,0.0,5.1054215,0.0,0.0,0.0,4.7770782,0.0,10.194389,26,DROME,MONTJOUX,26202,7.8959918,0.0,0.0,3.9894459
908,46.976612,0.0,8.1434555,0.0,0.0,0.0,4.0,7.870647,2.8985205,3.98401,0.0,0.0,50.958447,5.1640515,5.2239294,0.0,0.0,0.0,0.0,10.018076,0.0,4.9393053,4.9353285,10.447859,26,DROME,MONTJOYER,26203,12.074413,10.229899,0.0,8.0055656
909,26.603523,0.0,11.577534,0.0,0.0,0.0,7.5157857,0.0,0.0,0.0,0.0,0.0,66.840118,5.0599012,5.1782074,0.0,4.9632301,4.6366935,4.9632301,0.0,5.1782074,0.0,5.0209832,21.679052,26,DROME,MONTLAUR-EN-DIOIS,26204,3.7551022,10.160615,0.0,3.7551022
910,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.719198,0.0,10.125154,0.0,0.0,0.0,0.0,4.8235292,0.0,0.0,0.0,9.6470585,26,DROME,MONTMAUR-EN-DIOIS,26205,0.0,5.123457,0.0,0.0
911,539.58557,25.944321,75.546669,1.0063354,12.10369,29.294956,27.417831,19.902388,68.020294,20.371006,53.624096,68.156273,583.09821,20.144169,110.69224,6.1973391,40.470619,38.463699,25.291033,19.963966,36.530174,10.092406,64.057129,72.386246,26,DROME,MONTMEYRAN,26206,93.671431,65.579532,73.22963200000001,44.526291
912,122.90303,0.0,36.0,0.0,0.0,8.0,0.0,22.896427,16.006605,4.0,4.0,20.0,75.01416,9.9931908,15.0,0.0,0.0,0.0,20.027777,0.0,0.0,10.0,0.0,14.993191,26,DROME,MONTMIRAL,26207,12.0,5.0,0.0,0.0
913,303.63336,11.769884,28.074512,0.0,7.151247,32.066929,20.01981,27.79538,11.422817,20.138445,16.138445,28.150497,359.14133,24.976994,28.135687,4.9659839,5.0149546,33.513741,10.219719,18.968052,7.904768,20.049168,24.624474,80.929619,26,DROME,MONTOISON,26208,84.766939,44.893981999999994,54.944202,16.138445
914,154.51927,7.9019036,31.757086,0.0,0.0,3.9016395,11.452519,7.9028339,19.936161,3.9901688,11.796178,28.026537,166.43089,5.0,34.805908,0.0,0.0,0.0,5.8967662,5.0,4.9295774,25.097322,0.0,45.230824,26,DROME,VALHERBASSE,26210,11.951417,20.887477,19.5830201,15.902834
915,237.02829,4.0,52.511654,4.3759713,0.0,10.55439,4.036767,24.344526,9.4939899,18.234064,3.9329896,39.044537,229.50693,14.109669,25.760832,0.0,0.0,10.030131,15.369996,43.021889,0.0,5.0280881,20.509562,15.173947,26,DROME,MONTSÉGUR-SUR-LAUZON,26211,58.0899052,49.831505199999995,30.671307,8.4094906
916,176.79568,4.0,36.174118,4.0,5.0738449,16.0,11.922344,29.718754,8.0,16.0,0.0,24.240482,113.46362,5.0,8.840517,0.0,0.0,4.7582412,0.0,20.005642,10.0,5.0,5.0,15.005643,26,DROME,MONTVENDRE,26212,17.666145800000002,20.005643,19.847932999999998,4.0
