,DBL_dep,DBL_nomdep,DBL_nomcommune,CED_nviolences2016,CED_nviolences2020,CED_ncambriolages2016,CED_ncambriolages2020,CED_nvolsvoitures2016,CED_nvolsvoitures2020,CED_nautresvols2016,CED_nautresvols2020,CED_ncrimesdelits2016,CED_ncrimesdelits2020
13120,36,INDRE,LUZERET,2.495000004768372,4.524999976158142,1.595000028610229,1.414999961853027,0.0,1.019999980926514,1.469999969005585,1.344999969005585,5.560000002384186,8.304999887943268
13121,36,INDRE,LYE,3.219999998807907,2.324999988079071,1.595000028610229,1.414999961853027,1.03999999165535,1.019999980926514,2.644999980926514,2.540000021457672,8.5,7.299999952316284
13122,36,INDRE,LYS-SAINT-GEORGES,2.495000004768372,1.209999978542328,0.0,1.414999961853027,0.0,0.0,0.0,0.7149999737739563,2.495000004768372,3.339999914169312
13123,36,INDRE,MAGNY,3.394999980926514,4.774999976158142,1.595000028610229,1.414999961853027,1.03999999165535,1.019999980926514,3.634999960660934,1.344999969005585,9.664999961853027,8.554999887943268
13124,36,INDRE,MAILLET,2.495000004768372,0.0,1.595000028610229,1.414999961853027,0.0,0.0,2.16499999165535,0.7149999737739563,6.255000025033951,2.129999935626984
13125,36,INDRE,MALICORNAY,0.0,1.675000011920929,1.595000028610229,1.414999961853027,1.03999999165535,1.019999980926514,1.469999969005585,1.344999969005585,4.104999989271164,5.454999923706055
13126,36,INDRE,MÂRON,4.119999974966049,6.060000002384186,1.595000028610229,1.414999961853027,1.03999999165535,1.019999980926514,3.634999960660934,2.509999990463257,10.38999995589256,11.00499993562698
13127,36,INDRE,MARTIZAY,3.219999998807907,4.524999976158142,1.595000028610229,1.414999961853027,1.03999999165535,0.0,3.634999960660934,3.630000025033951,9.48999997973442,9.56999996304512
13128,36,INDRE,MAUVIÈRES,2.319999992847443,3.335000038146973,1.595000028610229,1.414999961853027,0.0,0.0,2.644999980926514,2.285000056028366,6.560000002384186,7.035000056028366
13129,36,INDRE,MENETOU-SUR-NAHON,0.0,1.675000011920929,1.595000028610229,1.414999961853027,0.0,1.019999980926514,1.469999969005585,0.6299999952316284,3.064999997615814,4.739999949932098
13130,36,INDRE,MÉNÉTRÉOLS-SOUS-VATAN,0.0,0.0,1.595000028610229,0.7049999833106995,0.0,0.0,1.469999969005585,1.344999969005585,3.064999997615814,2.049999952316284
13131,36,INDRE,MENOUX,0.0,6.060000002384186,1.595000028610229,1.414999961853027,0.0,1.019999980926514,2.459999948740005,2.540000021457672,4.054999977350235,11.0349999666214
13132,36,INDRE,MÉOBECQ,2.495000004768372,4.850000023841858,1.595000028610229,1.414999961853027,1.03999999165535,0.0,1.175000011920929,3.630000025033951,6.30500003695488,9.895000010728836
13133,36,INDRE,MÉRIGNY,2.495000004768372,4.850000023841858,1.595000028610229,1.414999961853027,1.03999999165535,0.0,2.459999948740005,2.434999972581863,7.589999973773956,8.699999958276749
13134,36,INDRE,MERS-SUR-INDRE,0.0,3.314999997615814,1.595000028610229,1.414999961853027,1.03999999165535,0.0,3.634999960660934,3.000000029802322,6.269999980926514,7.729999989271164
13135,36,INDRE,MEUNET-PLANCHES,2.495000004768372,0.0,0.0,1.414999961853027,0.0,0.0,2.16499999165535,2.465000003576279,4.659999996423721,3.879999965429306
13136,36,INDRE,MEUNET-SUR-VATAN,2.319999992847443,0.0,0.0,1.414999961853027,1.03999999165535,0.0,3.259999975562096,3.915000021457672,6.619999960064888,5.329999983310699
13137,36,INDRE,MÉZIÈRES-EN-BRENNE,2.495000004768372,6.060000002384186,1.595000028610229,1.414999961853027,1.03999999165535,1.019999980926514,3.634999960660934,3.630000025033951,8.764999985694885,12.12499997019768
13138,36,INDRE,MIGNÉ,2.495000004768372,4.850000023841858,1.595000028610229,1.414999961853027,0.0,0.0,2.644999980926514,1.795000016689301,6.735000014305115,8.060000002384186
13139,36,INDRE,MIGNY,0.0,4.040000021457672,1.595000028610229,0.7049999833106995,0.0,0.0,1.469999969005585,1.344999969005585,3.064999997615814,6.089999973773956
13140,36,INDRE,MONTCHEVRIER,2.319999992847443,6.060000002384186,1.595000028610229,0.7049999833106995,0.0,0.0,2.459999948740005,1.344999969005585,6.374999970197678,8.10999995470047
13141,36,INDRE,MONTGIVRAY,4.119999974966049,6.060000002384186,1.595000028610229,1.414999961853027,1.03999999165535,1.019999980926514,4.07499997317791,3.630000025033951,10.82999996840954,12.12499997019768
13142,36,INDRE,MONTIERCHAUME,4.119999974966049,6.060000002384186,5.0,1.414999961853027,1.03999999165535,1.019999980926514,3.634999960660934,3.630000025033951,13.79499992728233,12.12499997019768
13143,36,INDRE,MONTIPOURET,2.319999992847443,5.5,1.595000028610229,1.414999961853027,1.03999999165535,1.019999980926514,1.469999969005585,1.344999969005585,6.424999982118607,9.279999911785126
13144,36,INDRE,MONTLEVICQ,2.495000004768372,1.639999985694885,1.595000028610229,0.0,0.0,0.0,1.469999969005585,1.879999995231628,5.560000002384186,3.519999980926514
13145,36,INDRE,MOSNAY,2.495000004768372,3.050000011920929,1.595000028610229,1.414999961853027,0.0,0.0,0.0,2.969999998807907,4.090000033378601,7.434999972581863
13146,36,INDRE,MOTTE-FEUILLY,0.0,1.209999978542328,1.595000028610229,0.7049999833106995,0.0,0.0,0.0,0.0,1.595000028610229,1.914999961853027
13147,36,INDRE,MOUHERS,0.0,0.0,1.595000028610229,1.414999961853027,0.0,0.0,1.469999969005585,1.195000052452087,3.064999997615814,2.610000014305115
13148,36,INDRE,MOUHET,4.119999974966049,4.590000033378601,1.595000028610229,1.414999961853027,0.0,1.019999980926514,1.469999969005585,3.630000025033951,7.184999972581863,10.65500000119209
13149,36,INDRE,MOULINS-SUR-CÉPHONS,3.219999998807907,3.314999997615814,1.595000028610229,1.414999961853027,0.0,1.019999980926514,2.644999980926514,2.434999972581863,7.46000000834465,8.184999912977219
13150,36,INDRE,MURS,0.0,0.0,1.595000028610229,1.414999961853027,0.0,1.019999980926514,2.644999980926514,1.259999990463257,4.240000009536743,3.694999933242798
13151,36,INDRE,NÉONS-SUR-CREUSE,4.119999974966049,3.430000007152557,1.595000028610229,1.414999961853027,0.0,0.0,1.469999969005585,0.6299999952316284,7.184999972581863,5.474999964237213
13152,36,INDRE,NÉRET,0.0,1.580000042915344,1.595000028610229,0.0,1.03999999165535,0.0,0.0,1.625000029802322,2.635000020265579,3.205000072717667
13153,36,INDRE,NEUILLAY-LES-BOIS,4.119999974966049,6.060000002384186,1.595000028610229,1.414999961853027,1.03999999165535,1.019999980926514,3.634999960660934,1.879999995231628,10.38999995589256,10.37499994039536
13154,36,INDRE,NEUVY-PAILLOUX,3.044999986886978,6.060000002384186,1.595000028610229,1.414999961853027,1.03999999165535,1.019999980926514,3.634999960660934,4.040000021457672,9.314999967813492,12.5349999666214
13155,36,INDRE,NEUVY-SAINT-SÉPULCHRE,4.119999974966049,8.644999980926514,1.595000028610229,1.414999961853027,1.03999999165535,1.019999980926514,3.634999960660934,3.630000025033951,10.38999995589256,14.70999994874001
